answer_format,extracted_none,format_ok,n,numeric,numeric_exact,reasoning_format,reward_recomputed,reward_total,robust_numeric_exact,role,rollouts_seen,trace_call_index
0.2,0.0,0.0,8,0.8875,0.875,0.17500000000000004,1.2625000000000002,1.2624999731779099,0.875,train,1530.4734810894256,2063
0.07500000000000001,0.625,0.0,8,0.1,0.0,6.938893903907228e-18,0.175,0.17500000074505806,0.0,train,1531.2153489910684,2064
0.1875,0.0,0.0,8,1.0,1.0,0.13750000000000004,1.3250000000000002,1.3249999806284904,1.0,train,1531.9572168927116,2065
0.2,0.0,0.0,8,0.1,0.0,0.20000000000000004,0.5,0.5,0.0,train,1532.6990847943543,2066
0.037500000000000006,0.75,0.0,8,0.2125,0.0,-0.0875,0.1625,0.16249999683350325,0.0,train,1533.4409526959973,2067
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1534.1828205976403,2068
0.1875,0.0,0.0,8,0.8875,0.875,0.11250000000000003,1.1875,1.1874999776482582,0.875,train,1534.924688499283,2069
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1535.6665564009263,2070
0.17500000000000002,0.0,0.0,8,1.0,1.0,0.06250000000000003,1.2375,1.2374999821186066,1.0,train,1536.408424302569,2071
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1814.6088874186792,2446
0.2,0.0,0.0,8,0.775,0.75,0.20000000000000004,1.175,1.1749999821186066,0.75,train,1815.350755320322,2447
0.2,0.0,0.0,8,0.6625,0.625,0.20000000000000004,1.0625,1.0624999850988388,0.625,train,1816.092623221965,2448
0.2,0.0,0.0,8,0.68125,0.625,0.20000000000000004,1.08125,1.0812499821186066,0.625,train,1816.8344911236077,2449
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1817.576359025251,2450
0.2,0.0,0.0,8,0.1,0.0,0.20000000000000004,0.5,0.5,0.0,train,1818.3182269268939,2451
0.2,0.0,0.0,8,0.775,0.75,0.20000000000000004,1.175,1.1749999821186066,0.75,train,1819.0600948285366,2452
0.2,0.0,0.0,8,0.11875000000000001,0.0,0.16250000000000003,0.48125,0.48125000298023224,0.0,train,1819.8019627301796,2453
0.1875,0.0,0.0,8,1.0,1.0,0.12500000000000003,1.3125,1.3124999776482582,1.0,train,1820.5438306318229,2454
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1821.2856985334656,2455
0.2,0.0,0.0,8,0.8875,0.875,0.20000000000000004,1.2875,1.2874999791383743,0.875,train,1822.0275664351086,2456
0.2,0.0,0.0,8,0.325,0.25,0.16250000000000003,0.6875,0.6874999962747097,0.25,train,1822.7694343367514,2457
0.2,0.0,0.0,8,1.0,1.0,0.18750000000000003,1.3875000000000002,1.3874999731779099,1.0,train,1823.5113022383946,2458
